,OBJECTID *,address,zip,lat,long,neighborhood,status,NTA2020,NTAName,NTAAbbrev,CDTA2020,CDTAName,NTAType
469,470,284 atlantic avenue #2a in cobble hill,11201,40.688547,-73.989636,Northwest Brooklyn,Claim,BK0202,Downtown Brooklyn-DUMBO-Boerum Hill,DwntwnBk,BK02,BK02 Downtown Brooklyn-Fort Greene (CD 2 Approximation),0
470,471,2128 ocean avenue #4d in homecrest,11229,40.609858,-73.953817,Southern Brooklyn,Pending,BK1502,Madison,Mdsn,BK15,BK15 Sheepshead Bay-Gravesend (East) (CD 15 Approximation),0
471,472,395 washington avenue #6 in clinton hill,11238,40.68659,-73.965165,Central Brooklyn,Pending,BK0204,Clinton Hill,ClntnHl,BK02,BK02 Downtown Brooklyn-Fort Greene (CD 2 Approximation),0
472,473,"1088 morris ave apt 1 bronx, ny 10456 10456",10456,40.830406,-73.915516,High Bridge and Morrisania,Pending,BX0401,Concourse-Concourse Village,Cncrs,BX04,BX04 Highbridge-Concourse (CD 4 Approximation),0
473,474,637 bushwick avenue in bushwick,11206,40.698044,-73.93325,Bushwick and Williamsburg,No Claim,BK0401,Bushwick (West),Bshwck_W,BK04,BK04 Bushwick (CD 4 Equivalent),0
474,475,1875 atlantic avenue #3i in stuyvesant heights,11233,40.677293,-73.923031,Central Brooklyn,No Claim,BK0302,Bedford-Stuyvesant (East),BdSty_E,BK03,BK03 Bedford-Stuyvesant (CD 3 Approximation),0
475,476,310 lenox road #32 in flatbush,11226,40.653798,-73.949116,Flatbush,No Claim,BK1701,East Flatbush-Erasmus,EFb_Ersms,BK17,BK17 East Flatbush (CD 17 Approximation),0
476,477,121 ralph avenue #2w in stuyvesant heights,11221,40.685884,-73.923066,Bushwick and Williamsburg,No Claim,BK0302,Bedford-Stuyvesant (East),BdSty_E,BK03,BK03 Bedford-Stuyvesant (CD 3 Approximation),0
477,478,270 clarkson avenue #522 in flatbush,11226,40.655141,-73.950955,Flatbush,No Claim,BK1701,East Flatbush-Erasmus,EFb_Ersms,BK17,BK17 East Flatbush (CD 17 Approximation),0
478,479,"1229 ogden ave apt 2 bronx, ny 10452 10452",10452,40.838479,-73.926475,High Bridge and Morrisania,No Claim,BX0402,Highbridge,Hghbrdg,BX04,BX04 Highbridge-Concourse (CD 4 Approximation),0
479,480,"420 e 138th st apt 3a bronx, ny 10454 mott haven 10454",10454,40.808603,-73.922181,Hunts Point and Mott Haven,No Claim,BX0101,Mott Haven-Port Morris,MttHvn,BX01,BX01 Melrose-Mott Haven-Port Morris (CD 1 Approximation),0
480,481,"210 w 262nd st apt 2m bronx, ny 10471 10471",10471,40.910173,-73.897076,Kingsbridge and Riverdale,No Claim,BX0803,Riverdale-Spuyten Duyvil,Rvrdl,BX08,BX08 Riverdale-Kingsbridge-Marble Hill (CD 8 Approximation),0
481,482,"3401 tibbett ave apt 2 bronx, ny 10463 10463",10463,40.883515,-73.905815,Kingsbridge and Riverdale,No Claim,BX0802,Kingsbridge-Marble Hill,Kngbrdg,BX08,BX08 Riverdale-Kingsbridge-Marble Hill (CD 8 Approximation),0
482,483,"3044 kingsbridge ave apt e4 bronx, ny 10463 kingsbridge 10463",10463,40.879249,-73.906791,Kingsbridge and Riverdale,No Claim,BX0802,Kingsbridge-Marble Hill,Kngbrdg,BX08,BX08 Riverdale-Kingsbridge-Marble Hill (CD 8 Approximation),0
483,484,"3820 waldo ave apt d1 bronx, ny 10463 10463",10463,40.887717,-73.903423,Kingsbridge and Riverdale,No Claim,BX0802,Kingsbridge-Marble Hill,Kngbrdg,BX08,BX08 Riverdale-Kingsbridge-Marble Hill (CD 8 Approximation),0
484,485,"288 w 238th st apt c6 bronx, ny 10463 10463",10463,40.885663,-73.902236,Kingsbridge and Riverdale,No Claim,BX0802,Kingsbridge-Marble Hill,Kngbrdg,BX08,BX08 Riverdale-Kingsbridge-Marble Hill (CD 8 Approximation),0
485,486,"800 grand concourse apt 3sn bronx, ny 10451 10451",10451,40.82441,-73.923765,High Bridge and Morrisania,No Claim,BX0401,Concourse-Concourse Village,Cncrs,BX04,BX04 Highbridge-Concourse (CD 4 Approximation),0
486,487,"42-05 48th ave apt 5g, woodside, ny 11377 11377",11377,40.739975,-73.922857,West Queens,No Claim,QN0202,Sunnyside,Snnysd,QN02,QN02 Long Island City-Sunnyside-Woodside (CD 2 Approximation),0
487,488,"68-64 yellowstone blvd apt b58, forest hills, ny 11375 11375",11375,40.724784,-73.847482,West Central Queens,No Claim,QN0602,Forest Hills,FrstHls,QN06,QN06 Forest Hills-Rego Park (CD 6 Approximation),0
488,489,303 stanhope street #d2c in bushwick,11237,40.702601,-73.918875,Bushwick and Williamsburg,No Claim,BK0401,Bushwick (West),Bshwck_W,BK04,BK04 Bushwick (CD 4 Equivalent),0
489,490,"46-01 skillman ave apt f1, sunnyside, ny 11104 11104",11104,40.746695,-73.917809,Northwest Queens,No Claim,QN0202,Sunnyside,Snnysd,QN02,QN02 Long Island City-Sunnyside-Woodside (CD 2 Approximation),0
490,491,520 lincoln place #2c in crown heights,11238,40.671641,-73.959081,Central Brooklyn,Pending,BK0802,Crown Heights (North),CrwnHts_N,BK08,BK08 Crown Heights (North) (CD 8 Approximation),0
491,492,"2780 claflin ave apt 2a bronx, ny 10468 bedford park 10468",10468,40.871027,-73.900103,Bronx Park and Fordham,Pending,BX0801,Kingsbridge Heights-Van Cortlandt Village,KngbrdgHts,BX08,BX08 Riverdale-Kingsbridge-Marble Hill (CD 8 Approximation),0
492,493,"630 w 246th st apt 1429 bronx, ny 10471 riverdale 10471",10471,40.891841,-73.911649,Kingsbridge and Riverdale,Pending,BX0803,Riverdale-Spuyten Duyvil,Rvrdl,BX08,BX08 Riverdale-Kingsbridge-Marble Hill (CD 8 Approximation),0
493,494,"43-14 42nd st apt 2aa, sunnyside, ny 11104 11104",11104,40.744929,-73.922337,Northwest Queens,Pending,QN0202,Sunnyside,Snnysd,QN02,QN02 Long Island City-Sunnyside-Woodside (CD 2 Approximation),0
494,495,"31-03 23rd st apt a1, astoria, ny 11106 11106",11106,40.766436,-73.928565,Northwest Queens,Pending,QN0103,Astoria (Central),Astr_C,QN01,QN01 Astoria-Queensbridge (CD 1 Equivalent),0
495,496,1130 lafayette avenue #2s in bushwick,11221,40.692776,-73.926369,Bushwick and Williamsburg,Pending,BK0402,Bushwick (East),Bshwck_E,BK04,BK04 Bushwick (CD 4 Equivalent),0
496,497,"67-76 booth st apt 3g, forest hills, ny 11375 11375",11375,40.724533,-73.852131,West Central Queens,Pending,QN0602,Forest Hills,FrstHls,QN06,QN06 Forest Hills-Rego Park (CD 6 Approximation),0
497,498,"4923 8th ave apt d7 brooklyn, ny 11220 11220",11220,40.641055,-74.003391,Sunset Park,No Claim,BK1201,Sunset Park (East)-Borough Park (West),SnstPk_E,BK12,BK12 Borough Park-Kensington (CD 12 Approximation),0
498,499,"34-30 28th st apt a1, astoria, ny 11106 11106",11106,40.760157,-73.93046,Northwest Queens,No Claim,QN0105,Queensbridge-Ravenswood-Dutch Kills,Qnsbrdg,QN01,QN01 Astoria-Queensbridge (CD 1 Equivalent),0
499,500,"34-19 29th st apt 4n, astoria, ny 11106 11106",11106,40.759676,-73.929055,Northwest Queens,No Claim,QN0103,Astoria (Central),Astr_C,QN01,QN01 Astoria-Queensbridge (CD 1 Equivalent),0
500,501,"22-69 47th st apt 1, astoria, ny 11105 11105",11105,40.768184,-73.903488,Northwest Queens,No Claim,QN0101,Astoria (North)-Ditmars-Steinway,Astr_N,QN01,QN01 Astoria-Queensbridge (CD 1 Equivalent),0
501,502,"20-79 32nd st apt 2a, astoria, ny 11105 11105",11105,40.777809,-73.90744,Northwest Queens,No Claim,QN0101,Astoria (North)-Ditmars-Steinway,Astr_N,QN01,QN01 Astoria-Queensbridge (CD 1 Equivalent),0
502,503,"144-89 38th ave apt 3d, flushing, ny 11354 11354",11354,40.763816,-73.819598,North Queens,No Claim,QN0704,Murray Hill-Broadway Flushing,MryHl_BwyF,QN07,QN07 Flushing-Murray Hill-Whitestone (CD 7 Approximation),0
503,504,"98-31 65th rd apt 1c, rego park, ny 11374 11374",11374,40.729045,-73.856293,West Central Queens,No Claim,QN0602,Forest Hills,FrstHls,QN06,QN06 Forest Hills-Rego Park (CD 6 Approximation),0
504,505,"19-16 harman st apt 108, ridgewood, ny 11385 11385",11385,40.708231,-73.910288,West Central Queens,No Claim,QN0502,Ridgewood,Rdgwd,QN05,QN05 Ridgewood-Maspeth-Middle Village (CD 5 Approximation),0
505,506,"88-15 winchester blvd apt 5b, queens village, ny 11427 11427",11427,40.730082,-73.736257,Southeast Queens,No Claim,QN1302,Bellerose,Bllrs,QN13,QN13 Queens Village-Bellerose-Rosedale (CD 13 Approximation),0
506,507,"69-60 108th st apt 5a, forest hills, ny 11375 11375",11375,40.723398,-73.845052,West Central Queens,No Claim,QN0602,Forest Hills,FrstHls,QN06,QN06 Forest Hills-Rego Park (CD 6 Approximation),0
507,508,"43-11 34th ave apt 2a, long island city, ny 11101 11101",11101,40.755528,-73.917876,Northwest Queens,Claim,QN0104,Astoria (East)-Woodside (North),Astr_E,QN01,QN01 Astoria-Queensbridge (CD 1 Equivalent),0
508,509,"18-15 21st ave apt 2c, astoria, ny 11105 11105",11105,40.78362,-73.916175,Northwest Queens,No Claim,QN0101,Astoria (North)-Ditmars-Steinway,Astr_N,QN01,QN01 Astoria-Queensbridge (CD 1 Equivalent),0
509,510,"35-10 35th st apt d344, astoria, ny 11106 11106",11106,40.756424,-73.925676,Northwest Queens,No Claim,QN0103,Astoria (Central),Astr_C,QN01,QN01 Astoria-Queensbridge (CD 1 Equivalent),0
510,511,"605 18th st apt 1a brooklyn, ny 11218 11218",11218,40.65573,-73.979157,Borough Park,No Claim,BK0701,Windsor Terrace-South Slope,WndsrTr,BK07,BK07 Sunset Park-Windsor Terrace (CD 7 Approximation),0
511,512,"21-18 33rd ave apt 1c, astoria, ny 11106 11106",11106,40.764126,-73.931775,Northwest Queens,No Claim,QN0105,Queensbridge-Ravenswood-Dutch Kills,Qnsbrdg,QN01,QN01 Astoria-Queensbridge (CD 1 Equivalent),0
512,513,"135-23 82nd ave apt 5, jamaica, ny 11435 11435",11435,40.714783,-73.822036,Jamaica,No Claim,QN0805,Jamaica Hills-Briarwood,JmcaHls,QN08,QN08 Fresh Meadows-Hillcrest-Briarwood (CD 8 Approximation),0
513,514,"121 henry st apt 1r brooklyn, ny 11201 11201",11201,40.696979,-73.993051,Northwest Brooklyn,TBD,BK0201,Brooklyn Heights,BkHts,BK02,BK02 Downtown Brooklyn-Fort Greene (CD 2 Approximation),0
514,515,"142-10 hoover ave apt 304a, jamaica, ny 11435 11435",11435,40.713893,-73.815576,Jamaica,Pending,QN0805,Jamaica Hills-Briarwood,JmcaHls,QN08,QN08 Fresh Meadows-Hillcrest-Briarwood (CD 8 Approximation),0
515,516,"173 ludlow st apt 2b
new york, ny 10002 10002",10002,40.721851,-73.987709,Lower East Side,No Claim,MN0302,Lower East Side,LES,MN03,MN03 Lower East Side-Chinatown (CD 3 Equivalent),0
516,517,"46 e 1st st
new york, ny 10003 10003",10003,40.724023,-73.989683,Lower East Side,Claim,MN0303,East Village,EstVlg,MN03,MN03 Lower East Side-Chinatown (CD 3 Equivalent),0
517,518,"71 clinton st apt 19
new york, ny 10002 10002",10002,40.719234,-73.98517,Lower East Side,No Claim,MN0302,Lower East Side,LES,MN03,MN03 Lower East Side-Chinatown (CD 3 Equivalent),0
518,519,"303 e 94th st apt 1l
new york, ny 10128 10128",10128,40.782906,-73.94739,Upper East Side,No Claim,MN0803,Upper East Side-Yorkville,UES_Yrkvl,MN08,MN08 Upper East Side-Roosevelt Island (CD 8 Equivalent),0
519,520,"1702 2nd ave apt 3r
new york, ny 10128 10128",10128,40.779249,-73.950372,Upper East Side,No Claim,MN0803,Upper East Side-Yorkville,UES_Yrkvl,MN08,MN08 Upper East Side-Roosevelt Island (CD 8 Equivalent),0
520,521,"116 e 92nd st apt 2a
new york, ny 10128 10128",10128,40.783495,-73.953823,Upper East Side,No Claim,MN0802,Upper East Side-Carnegie Hill,UES_CrngHl,MN08,MN08 Upper East Side-Roosevelt Island (CD 8 Equivalent),0
521,522,"parc coliseum apartments
228 w 71st st
new york, ny 10023 10023",10023,40.778337,-73.983485,Upper West Side,No Claim,MN0701,Upper West Side-Lincoln Square,UWS_LclnSq,MN07,MN07 Upper West Side (CD 7 Approximation),0
522,523,"hudson crossing apartments
400 w 37th st
new york, ny 10018 10018",10018,40.755367,-73.995455,Chelsea and Clinton,No Claim,MN0401,Chelsea-Hudson Yards,Chls_HdsYd,MN04,MN04 Chelsea-Hell's Kitchen (CD 4 Approximation),0
523,524,"the howell apartments
84 william st
new york, ny 10038 10038",10038,40.708005,-74.007726,Lower Manhattan,No Claim,MN0101,Financial District-Battery Park City,FiDi,MN01,MN01 Financial District-Tribeca (CD 1 Equivalent),0
0,1,"254 east 125th st apt 8 new york, ny, 10035 10035",10035,40.80276,-73.93418,East Harlem,Claim,MN1102,East Harlem (North),EstHrlm_N,MN11,MN11 East Harlem (CD 11 Equivalent),0
1,2,"254 east 125th street, apt 8, new york, ny, 10035 10035",10035,40.80276,-73.93418,East Harlem,Pending,MN1102,East Harlem (North),EstHrlm_N,MN11,MN11 East Harlem (CD 11 Equivalent),0
2,3,"324 e 35th st apt 2d new york, ny 10026 10026",10016,40.744798,-73.974167,Central Harlem,Pending,MN0603,Murray Hill-Kips Bay,MryHl_KpBy,MN06,MN06 East Midtown-Murray Hill (CD 6 Approximation),0
3,4,"41-29 53rd street, apt 1f, woodside, ny, 11377 11377",11377,40.744894,-73.911228,West Queens,Inconclusive,QN0203,Woodside,Wdsd,QN02,QN02 Long Island City-Sunnyside-Woodside (CD 2 Approximation),0
4,5,"31-24 28th avenue, apt 1, astoria, ny, 11102 11102",11102,40.767796,-73.919204,Northwest Queens,No Claim,QN0103,Astoria (Central),Astr_C,QN01,QN01 Astoria-Queensbridge (CD 1 Equivalent),0
5,6,"166-05 highland avenue, apt 1b, jamaica, ny, 11432 11432",11432,40.711695,-73.797195,Jamaica,No Claim,QN0805,Jamaica Hills-Briarwood,JmcaHls,QN08,QN08 Fresh Meadows-Hillcrest-Briarwood (CD 8 Approximation),0
6,7,"64-33 99th street, apt 1f, rego park, ny, 11374 11374",11374,40.730066,-73.855354,West Central Queens,Claim,QN0602,Forest Hills,FrstHls,QN06,QN06 Forest Hills-Rego Park (CD 6 Approximation),0
7,8,"74-02 43rd avenue, apt 4p, elmhurst, ny, 11373 11373",11373,40.742005,-73.890193,West Queens,No Claim,QN0401,Elmhurst,Elmhrst,QN04,QN04 Elmhurst-Corona (CD 4 Approximation),0
8,9,"58-12 43rd avenue, apt 1, woodside, ny, 11377 11377",11377,40.742956,-73.906634,West Queens,Inconclusive,QN0203,Woodside,Wdsd,QN02,QN02 Long Island City-Sunnyside-Woodside (CD 2 Approximation),0
9,10,"85-05 35th avenue, apt 3e, jackson heights, ny, 11372 11372",11372,40.752385,-73.881277,West Queens,No Claim,QN0301,Jackson Heights,JcksnHts,QN03,QN03 Jackson Heights-East Elmhurst (CD 3 Approximation),0
10,11,"2471 coyle st apt 1 brooklyn, ny 11235 11235",11235,40.592693,-73.935305,Southern Brooklyn,Inconclusive,BK1503,Sheepshead Bay-Manhattan Beach-Gerritsen Beach,ShpshdBy,BK15,BK15 Sheepshead Bay-Gravesend (East) (CD 15 Approximation),0
11,12,"2277 homecrest ave apt 7c brooklyn, ny 11229 11229",11229,40.594755,-73.958237,Southern Brooklyn,Inconclusive,BK1501,Gravesend (East)-Homecrest,Grvsnd_E,BK15,BK15 Sheepshead Bay-Gravesend (East) (CD 15 Approximation),0
12,13,"1670 e 19th st apt 8b brooklyn, ny 11229 11229",11229,40.6093,-73.954787,Southern Brooklyn,No Claim,BK1502,Madison,Mdsn,BK15,BK15 Sheepshead Bay-Gravesend (East) (CD 15 Approximation),0
13,14,"1720 e 13th st apt 4c brooklyn, ny 11229 11229",11229,40.607378,-73.960183,Southern Brooklyn,Inconclusive,BK1501,Gravesend (East)-Homecrest,Grvsnd_E,BK15,BK15 Sheepshead Bay-Gravesend (East) (CD 15 Approximation),0
14,15,"1299 e 94th st apt 2
brooklyn, ny 11236 11236",11236,40.63971,-73.900077,Canarsie and Flatlands,Inconclusive,BK1803,Canarsie,Cnrsie,BK18,BK18 Canarsie-Flatlands (CD 18 Approximation),0
15,16,"4601 6th ave apt 3n, brooklyn, ny 11220 11220",11220,40.645843,-74.005706,Sunset Park,Inconclusive,BK0703,Sunset Park (Central),SnstPk_C,BK07,BK07 Sunset Park-Windsor Terrace (CD 7 Approximation),0
16,17,"322 linden boulevard apt 3d, brooklyn, ny, 11226 11226",11226,40.65246,-73.94705,Flatbush,No Claim,BK1701,East Flatbush-Erasmus,EFb_Ersms,BK17,BK17 East Flatbush (CD 17 Approximation),0
17,18,24-35 38th street #2f in astoria,11103,40.768498,-73.911951,Northwest Queens,Inconclusive,QN0104,Astoria (East)-Woodside (North),Astr_E,QN01,QN01 Astoria-Queensbridge (CD 1 Equivalent),0
18,19,32-30 45th street #1r in astoria,11103,40.764357,-73.923462,Northwest Queens,No Claim,QN0103,Astoria (Central),Astr_C,QN01,QN01 Astoria-Queensbridge (CD 1 Equivalent),0
19,20,"327 43rd street apt 5a, brooklyn, ny, 11232 11232",11232,40.651396,-74.0097,Sunset Park,Inconclusive,BK0702,Sunset Park (West),SnstPk_W,BK07,BK07 Sunset Park-Windsor Terrace (CD 7 Approximation),0
20,21,"2039 homecrest avenue apt 1, brooklyn, ny, 11229 11229",11229,40.599824,-73.959103,Southern Brooklyn,Inconclusive,BK1501,Gravesend (East)-Homecrest,Grvsnd_E,BK15,BK15 Sheepshead Bay-Gravesend (East) (CD 15 Approximation),0
21,22,"483 linden blvd apt c, brooklyn, ny 11203 11203",11203,40.653495,-73.940873,Flatbush,Inconclusive,BK1703,East Flatbush-Rugby,EFb_Rgby,BK17,BK17 East Flatbush (CD 17 Approximation),0
22,23,103-54 104th street #2  in south richmond hill,11417,40.682732,-73.837599,Southwest Queens,No Claim,QN0904,Ozone Park (North),OznPk_N,QN09,QN09 Kew Gardens-Richmond Hill-Woodhaven (CD 9 Approximation),0
23,24,"1761 amsterdam ave apt 10 new york, ny 10031 10031",10031,40.826536,-73.946404,Inwood and Washington Heights,No Claim,MN0903,Hamilton Heights-Sugar Hill,HmltnHts,MN09,MN09 Morningside Heights-Hamilton Heights (CD 9 Equivalent),0
24,25,"48 pinehurst ave apt 54 new york, ny 10033 10033",10033,40.849995,-73.940046,Inwood and Washington Heights,No Claim,MN1202,Washington Heights (North),WshHts_N,MN12,MN12 Washington Heights-Inwood (CD 12 Equivalent),0
25,26,"2738 gifford ave apt b, bronx, ny 10465 10465",10465,40.831069,-73.832694,Southeast Bronx,Inconclusive,BX1002,Throgs Neck-Schuylerville,ThrgsNck,BX10,BX10 Co-op City-Throgs Neck (CD 10 Approximation),0
26,27,"2845 wilkinson ave floor 1, bronx, ny 10461 10461",10461,40.851969,-73.834069,Southeast Bronx,Inconclusive,BX1003,Pelham Bay-Country Club-City Island,PlhmBy,BX10,BX10 Co-op City-Throgs Neck (CD 10 Approximation),0
27,28,37-28 68th street #1 in woodside,11377,40.747728,-73.897689,West Queens,Inconclusive,QN0203,Woodside,Wdsd,QN02,QN02 Long Island City-Sunnyside-Woodside (CD 2 Approximation),0
28,29,31-56 29th street #1r  in astoria,11106,40.764099,-73.926579,Northwest Queens,Inconclusive,QN0103,Astoria (Central),Astr_C,QN01,QN01 Astoria-Queensbridge (CD 1 Equivalent),0
29,30,43-11 49th street #6e  in sunnyside,11104,40.744092,-73.915335,Northwest Queens,No Claim,QN0202,Sunnyside,Snnysd,QN02,QN02 Long Island City-Sunnyside-Woodside (CD 2 Approximation),0
30,31,172-90 highland avenue #3d in jamaica estates,11432,40.717951,-73.783822,Jamaica,Inconclusive,QN0804,Jamaica Estates-Holliswood,JmcaEstts,QN08,QN08 Fresh Meadows-Hillcrest-Briarwood (CD 8 Approximation),0
31,32,63-89 saunders street #1e in rego park,11374,40.729167,-73.861984,West Central Queens,Inconclusive,QN0601,Rego Park,RegoPk,QN06,QN06 Forest Hills-Rego Park (CD 6 Approximation),0
32,33,"619 bay ridge avenue, apt 1, brooklyn, ny, 11220 11220",11220,40.63218,-74.017894,Sunset Park,Inconclusive,BK1001,Bay Ridge,ByRdg,BK10,BK10 Bay Ridge-Dyker Heights (CD 10 Approximation),0
33,34,"1737 79th street, apt 1, brooklyn, ny, 11214 11214",11214,40.612118,-73.999657,Southwest Brooklyn,Inconclusive,BK1101,Bensonhurst,Bnsnhrst,BK11,BK11 Bensonhurst-Bath Beach (CD 11 Approximation),0
34,35,"506 w 213th st apt 4a new york, ny 10034 10034",10034,40.868417,-73.917014,Inwood and Washington Heights,No Claim,MN1203,Inwood,Inwd,MN12,MN12 Washington Heights-Inwood (CD 12 Equivalent),0
35,36,"550 w 140th st apt 7 new york, ny 10031 10031",10031,40.822756,-73.952169,Inwood and Washington Heights,Inconclusive,MN0903,Hamilton Heights-Sugar Hill,HmltnHts,MN09,MN09 Morningside Heights-Hamilton Heights (CD 9 Equivalent),0
36,37,65-74 saunders street #4h in rego park,11374,40.727031,-73.857253,West Central Queens,Inconclusive,QN0602,Forest Hills,FrstHls,QN06,QN06 Forest Hills-Rego Park (CD 6 Approximation),0
37,38,33-30 61st street #201 in woodside,11377,40.752886,-73.901495,West Queens,No Claim,QN0203,Woodside,Wdsd,QN02,QN02 Long Island City-Sunnyside-Woodside (CD 2 Approximation),0
38,39,"3059 fulton street, apt 2r, brooklyn, ny, 11208 11208",11208,40.680999,-73.881891,East New York and New Lots,Inconclusive,BK0501,Cypress Hills,CyprssHls,BK05,BK05 East New York-Cypress Hills (CD 5 Approximation),0
39,40,"1180 ocean parkway, apt 5c, brooklyn, ny, 11230 11230",11230,40.61986,-73.970349,Borough Park,Claim,BK1204,Mapleton-Midwood (West),Mpltn,BK12,BK12 Borough Park-Kensington (CD 12 Approximation),0
40,41,"796 mc donald avenue, apt 3b, brooklyn, ny, 11218 11218",11218,40.634344,-73.978216,Borough Park,Inconclusive,BK1202,Borough Park,BoroPk,BK12,BK12 Borough Park-Kensington (CD 12 Approximation),0
41,42,"878 greene avenue, apt 1l, brooklyn, ny, 11221 11221",11221,40.69031,-73.932887,Bushwick and Williamsburg,No Claim,BK0302,Bedford-Stuyvesant (East),BdSty_E,BK03,BK03 Bedford-Stuyvesant (CD 3 Approximation),0
42,43,"51 argyle road, apt a6, brooklyn, ny, 11218 11218",11218,40.648256,-73.967523,Borough Park,No Claim,BK1402,Flatbush (West)-Ditmas Park-Parkville,Fltbsh_W,BK14,BK14 Flatbush-Midwood (CD 14 Approximation),0
43,44,"2574 bedford avenue, apt 1d, brooklyn, ny, 11226 11226",11226,40.640763,-73.95465,Flatbush,Inconclusive,BK1401,Flatbush,Fltbsh,BK14,BK14 Flatbush-Midwood (CD 14 Approximation),0
44,45,"907 47th street, apt 2, brooklyn, ny, 11219 11219",11219,40.641486,-73.999309,Borough Park,Inconclusive,BK1201,Sunset Park (East)-Borough Park (West),SnstPk_E,BK12,BK12 Borough Park-Kensington (CD 12 Approximation),0
45,46,"1052 58th street, apt 2a, brooklyn, ny, 11219 11219",11219,40.632948,-74.002859,Borough Park,TBD,BK1202,Borough Park,BoroPk,BK12,BK12 Borough Park-Kensington (CD 12 Approximation),0
46,47,"744 lexington avenue, apt 3, brooklyn, ny, 11221 11221",11221,40.689938,-73.929425,Bushwick and Williamsburg,Inconclusive,BK0302,Bedford-Stuyvesant (East),BdSty_E,BK03,BK03 Bedford-Stuyvesant (CD 3 Approximation),0
47,48,"222 w 137th st apt 2f new york, ny 10030 10030",10030,40.816946,-73.944007,Central Harlem,No Claim,MN1002,Harlem (North),Hrlm_N,MN10,MN10 Harlem (CD 10 Equivalent),0
48,49,"451 w 166th st apt 2d new york, ny 10032 10032",10032,40.838088,-73.936568,Inwood and Washington Heights,Inconclusive,MN1201,Washington Heights (South),WshHts_S,MN12,MN12 Washington Heights-Inwood (CD 12 Equivalent),0
49,50,"511 w 167th st apt 5f new york, ny 10032 10032",10032,40.839841,-73.938141,Inwood and Washington Heights,No Claim,MN1201,Washington Heights (South),WshHts_S,MN12,MN12 Washington Heights-Inwood (CD 12 Equivalent),0
50,51,"127 henry st apt 1 new york, ny 10002 10002",10002,40.713415,-73.991293,Lower East Side,No Claim,MN0301,Chinatown-Two Bridges,Chntwn,MN03,MN03 Lower East Side-Chinatown (CD 3 Equivalent),0
51,52,"145 w 145th st apt 25 new york, ny 10039 10039",10030,40.821332,-73.937658,Central Harlem,Inconclusive,MN1002,Harlem (North),Hrlm_N,MN10,MN10 Harlem (CD 10 Equivalent),0
52,53,"3058 brighton 3rd street, brooklyn, ny, 11235 11235",11235,40.577645,-73.964589,Southern Brooklyn,Inconclusive,BK1303,Brighton Beach,BrghtnBch,BK13,BK13 Coney Island-Brighton Beach (CD 13 Approximation),0
53,54,"1464 ocean avenue, brooklyn, ny, 11230 11230",11230,40.626417,-73.956968,Borough Park,Inconclusive,BK1403,Midwood,Mdwd,BK14,BK14 Flatbush-Midwood (CD 14 Approximation),0
54,55,"127 27th avenue, brooklyn, ny, 11214 11214",11214,40.590875,-73.987006,Southwest Brooklyn,Claim,BK1301,Gravesend (South),Grvsnd_S,BK13,BK13 Coney Island-Brighton Beach (CD 13 Approximation),0
55,56,"312 east 89th street, apt 4, new york, ny, 10128 10128",10128,40.779561,-73.95011,Upper East Side,Inconclusive,MN0803,Upper East Side-Yorkville,UES_Yrkvl,MN08,MN08 Upper East Side-Roosevelt Island (CD 8 Equivalent),0
56,57,"545 edgecombe avenue, apt 11h, new york, ny, 10032 10032",10032,40.833573,-73.939174,Inwood and Washington Heights,Inconclusive,MN1201,Washington Heights (South),WshHts_S,MN12,MN12 Washington Heights-Inwood (CD 12 Equivalent),0
57,58,"213 east 25th street, apt 1d, new york, ny, 10010 10010",10010,40.739989,-73.981413,Gramercy Park and Murray Hill,No Claim,MN0603,Murray Hill-Kips Bay,MryHl_KpBy,MN06,MN06 East Midtown-Murray Hill (CD 6 Approximation),0
58,59,"347 west 122nd street, apt ground, new york, ny, 10027 10027",10027,40.809252,-73.954485,Central Harlem,No Claim,MN1001,Harlem (South),Hrlm_S,MN10,MN10 Harlem (CD 10 Equivalent),0
59,60,"511 west 167th street, apt 5f, new york, ny, 10032 10032",10032,40.839841,-73.938141,Inwood and Washington Heights,No Claim,MN1201,Washington Heights (South),WshHts_S,MN12,MN12 Washington Heights-Inwood (CD 12 Equivalent),0
60,61,"8805 third avenue, brooklyn, ny, 11209 11209",11209,40.621678,-74.031458,Southwest Brooklyn,TBD,BK1001,Bay Ridge,ByRdg,BK10,BK10 Bay Ridge-Dyker Heights (CD 10 Approximation),0
61,62,"1916 prospect place, brooklyn, ny, 11233 11233",11233,40.672124,-73.912887,Central Brooklyn,No Claim,BK1601,Ocean Hill,OcnHl,BK16,BK16 Ocean Hill-Brownsville (CD 16 Approximation),0
62,63,"390 rugby road, brooklyn, ny, 11226 11226",11226,40.640139,-73.96534,Flatbush,Inconclusive,BK1402,Flatbush (West)-Ditmas Park-Parkville,Fltbsh_W,BK14,BK14 Flatbush-Midwood (CD 14 Approximation),0
63,64,"203 norman avenue, brooklyn, ny, 11222 11222",11222,40.727506,-73.946189,Greenpoint,No Claim,BK0101,Greenpoint,Grnpt,BK01,BK01 Williamsburg-Greenpoint (CD 1 Equivalent),0
64,65,"64-62 booth st apt 2f, rego park, ny 11374 11374",11374,40.727296,-73.860204,West Central Queens,Claim,QN0601,Rego Park,RegoPk,QN06,QN06 Forest Hills-Rego Park (CD 6 Approximation),0
